date,year,number_egg_checks,number_hours_checking,deployment,adults_observed
6/7/2016,2016,1,2.5,1,0
6/8/2016,2016,2,5,1,0
6/9/2016,2016,1,2.5,1,0
6/10/2016,2016,1,2.5,1,0
6/12/2016,2016,1,2.5,1,1
6/13/2016,2016,1,2.5,1,0
6/14/2016,2016,2,5,1,3
6/15/2016,2016,2,5,1,0
6/16/2016,2016,1,2.5,1,0
6/17/2016,2016,2,5,1,0
6/19/2016,2016,1,2.5,1,1
6/20/2016,2016,2,5,1,0
6/21/2016,2016,2,5,1,0
6/22/2016,2016,2,5,1,0
6/23/2016,2016,1,2.5,1,0
6/24/2016,2016,1,2.5,1,0
7/1/2016,2016,2,5,2,0
7/2/2016,2016,1,2.5,2,0
7/3/2016,2016,1,2.5,2,1
7/5/2016,2016,2,5,2,0
7/6/2016,2016,1,2.5,2,0
7/7/2016,2016,1,2.5,2,0
7/8/2016,2016,1,2.5,2,0
7/14/2016,2016,1,2.5,2,0
7/18/2016,2016,1,2.5,2,0
7/21/2016,2016,1,2.5,2,0
7/25/2016,2016,1,2.5,2,0
7/28/2016,2016,1,2.5,2,2
8/3/2016,2016,1,2.5,2,0
8/9/2016,2016,2,5,3,2
8/10/2016,2016,2,5,3,0
8/11/2016,2016,2,5,3,0
8/12/2016,2016,2,5,3,0
8/15/2016,2016,2,5,3,0
8/16/2016,2016,1,2.5,3,0
8/17/2016,2016,2,5,3,3
8/18/2016,2016,2,5,3,0
8/19/2016,2016,2,5,3,0
8/23/2016,2016,1,2.5,3,1
6/13/2017,2017,2,5,1,3
6/14/2017,2017,2,5,1,1
6/15/2017,2017,2,5,1,0
6/16/2017,2017,2,5,1,1
6/17/2017,2017,1,2.5,1,0
6/20/2017,2017,1,2.5,1,0
6/26/2017,2017,1,2.5,1,0
6/30/2017,2017,1,2.5,1,0
7/12/2017,2017,1,2.5,2,1
7/13/2017,2017,2,5,2,5
7/14/2017,2017,2,5,2,3
7/15/2017,2017,2,5,2,3
7/16/2017,2017,1,2.5,2,0
8/15/2017,2017,2,5,3,1
8/16/2017,2017,2,5,3,0
8/17/2017,2017,2,5,3,0
8/18/2017,2017,2,5,3,1
8/19/2017,2017,2,5,3,1
8/21/2017,2017,1,2.5,3,0
